Model,hyperparams,mean_accuracy,std_accuracy
RF,n_estimators=200,0.9157894736842105,0.008945648269461023
PRF,"n_estimators=100, bootstrap=True, max_depth=None, max_features=sqrt",0.968421052631579,0.007017543859649145
DF,"n_estimators=3, n_trees=30",0.9228070175438596,0.015091798714109877
PDF,"n_cascade_estimators=6, n_trees_pdf=30, max_depth_pdf=8",0.9649122807017545,0.00960916767552926
KSVM,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.8859649122807017,0.0
