n_cascade_estimators,n_trees_pdrf,max_depth_pdrf,mean_accuracy,std_accuracy
4,10,4,0.9421052631578947,0.004297350425935359
4,10,6,0.9421052631578949,0.0070175438596491
4,10,8,0.9403508771929825,0.003508771929824528
4,20,4,0.9385964912280702,0.0
4,20,6,0.9403508771929825,0.003508771929824528
4,20,8,0.9438596491228071,0.007017543859649095
4,30,4,0.9385964912280702,0.0
4,30,6,0.9403508771929825,0.003508771929824528
4,30,8,0.9403508771929825,0.003508771929824528
6,10,4,0.9385964912280702,0.0
6,10,6,0.9385964912280702,0.0
6,10,8,0.9385964912280702,0.0
6,20,4,0.9385964912280702,0.0
6,20,6,0.9421052631578947,0.0070175438596491
6,20,8,0.9403508771929825,0.003508771929824528
6,30,4,0.9385964912280702,0.0
6,30,6,0.9385964912280702,0.0
6,30,8,0.9421052631578949,0.0070175438596491
