n_estimators,n_trees_drf,mean_accuracy,std_accuracy
2,10,0.53875,0.014059027349002474
2,20,0.536875,0.00824431622392058
2,30,0.5225000000000001,0.02123160968932878
3,10,0.5275000000000001,0.00750000000000002
3,20,0.5418749999999999,0.03014288887946874
3,30,0.553125,0.007905694150420955
