n_estimators,n_trees_drf,mean_accuracy,std_accuracy
2,10,0.72,0.05811865258054235
2,20,0.6666666666666667,0.08432740427115679
2,30,0.6866666666666666,0.09092121131323908
3,10,0.6733333333333333,0.1236482466066094
3,20,0.6733333333333333,0.10198039027185571
3,30,0.7133333333333333,0.09797958971132713
