n_estimators,n_trees_df,mean_accuracy,std_accuracy
2,10,0.7163737280296023,0.014645341296698085
2,20,0.730249768732655,0.012252892277371662
2,30,0.7332099907493062,0.011724684194453184
3,10,0.7441258094357076,0.00907511450022626
3,20,0.7370952821461609,0.011866877121794328
3,30,0.7385753931544865,0.0030736813553813285
