n_estimators,n_trees_drf,mean_accuracy,std_accuracy
2,10,0.8543859649122807,0.016269506132448593
2,20,0.8666666666666666,0.01022974016639525
2,30,0.8666666666666668,0.01403508771929824
3,10,0.8719298245614034,0.008945648269461006
3,20,0.8894736842105264,0.015294382258037455
3,30,0.8894736842105264,0.01312862240973313
