n_estimators,n_trees_df,mean_accuracy,std_accuracy
2,10,0.62,0.04049691346263317
2,20,0.672,0.016000000000000014
2,30,0.694,0.00489897948556636
3,10,0.6599999999999999,0.028284271247461905
3,20,0.6859999999999999,0.024979991993593572
3,30,0.7020000000000001,0.024819347291981694
