n_cascade_estimators,n_trees_pdf,max_depth_pdf,mean_accuracy,std_accuracy
4,10,4,0.638,0.017204650534085267
4,10,6,0.66,0.006324555320336764
4,10,8,0.67,0.026832815729997475
4,20,4,0.652,0.0040000000000000036
4,20,6,0.6799999999999999,0.021908902300206614
4,20,8,0.664,0.014966629547095779
4,30,4,0.6519999999999999,0.00979795897113272
4,30,6,0.666,0.018547236990991395
4,30,8,0.684,0.016248076809271893
6,10,4,0.66,0.014142135623730963
6,10,6,0.656,0.008000000000000007
6,10,8,0.6759999999999999,0.022449944320643615
6,20,4,0.658,0.023999999999999983
6,20,6,0.672,0.017204650534085247
6,20,8,0.67,0.010954451150103331
6,30,4,0.65,0.016733200530681523
6,30,6,0.676,0.018547236990991377
6,30,8,0.6799999999999999,0.006324555320336729
