n_cascade_estimators,n_trees_pdf,max_depth_pdf,mean_accuracy,std_accuracy
4,10,4,0.9403508771929825,0.008594700851870786
4,10,6,0.9438596491228071,0.008945648269461006
4,10,8,0.9421052631578947,0.007017543859649095
4,20,4,0.9438596491228071,0.008945648269461006
4,20,6,0.9491228070175438,0.012892051277806205
4,20,8,0.9526315789473683,0.007017543859649145
4,30,4,0.9403508771929824,0.01022974016639525
4,30,6,0.9438596491228071,0.004297350425935359
4,30,8,0.9438596491228071,0.007017543859649094
6,10,4,0.9403508771929825,0.006564311204866537
6,10,6,0.9456140350877191,0.006564311204866537
6,10,8,0.9368421052631579,0.01022974016639525
6,20,4,0.9350877192982455,0.016269506132448607
6,20,6,0.9403508771929824,0.006564311204866537
6,20,8,0.9438596491228071,0.0070175438596490995
6,30,4,0.9438596491228071,0.0118988245317987
6,30,6,0.9491228070175438,0.0035087719298245723
6,30,8,0.9438596491228071,0.004297350425935359
