n_cascade_estimators,n_trees_pdf,max_depth_pdf,mean_accuracy,std_accuracy
4,10,4,0.9456140350877194,0.008594700851870786
4,10,6,0.9473684210526315,0.0055478555441550335
4,10,8,0.9526315789473683,0.007017543859649145
4,20,4,0.9456140350877191,0.003508771929824528
4,20,6,0.9526315789473683,0.007017543859649145
4,20,8,0.9456140350877191,0.003508771929824528
4,30,4,0.9456140350877191,0.008594700851870786
4,30,6,0.956140350877193,0.007845852552630867
4,30,8,0.9578947368421054,0.0035087719298245723
6,10,4,0.9438596491228071,0.008945648269461006
6,10,6,0.9456140350877194,0.003508771929824528
6,10,8,0.9491228070175438,0.0035087719298245723
6,20,4,0.9421052631578947,0.007017543859649094
6,20,6,0.9491228070175438,0.0085947008518708
6,20,8,0.9543859649122807,0.006564311204866584
6,30,4,0.9491228070175438,0.006564311204866549
6,30,6,0.9543859649122807,0.006564311204866584
6,30,8,0.9596491228070176,0.007017543859649145
