n_cascade_estimators,n_trees_pdf,max_depth_pdf,mean_accuracy,std_accuracy
4,10,4,0.7866790009250695,0.0019048344386655008
4,10,6,0.7763182238667901,0.006706593509858249
4,10,8,0.7752081406105458,0.005791850450508273
4,20,4,0.7840888066604996,0.0012548251587650642
4,20,6,0.7790934320074004,0.004767474089444979
4,20,8,0.7761332099907493,0.004716946821084895
4,30,4,0.7859389454209066,0.0012548251587650675
4,30,6,0.7840888066604995,0.0009433893642169547
4,30,8,0.7740980573543016,0.003942141674868186
6,10,4,0.785013876040703,0.0017157481027744014
6,10,6,0.7837187789084182,0.0010788070110721855
6,10,8,0.7768732654949121,0.003718732884781077
6,20,4,0.785013876040703,0.0009433893642169678
6,20,6,0.7796484736355227,0.00603497000196119
6,20,8,0.7774283071230343,0.0064781281776176165
6,30,4,0.7859389454209065,0.001503059834345262
6,30,6,0.7839037927844588,0.0012548251587650642
6,30,8,0.7724329324699353,0.0038365293900698835
