n_cascade_estimators,n_trees_pdf,max_depth_pdf,mean_accuracy,std_accuracy
4,10,4,0.674,0.024166091947189116
4,10,6,0.6900000000000002,0.017888543819998284
4,10,8,0.7160000000000001,0.032619012860600184
4,20,4,0.678,0.0040000000000000036
4,20,6,0.6980000000000001,0.011661903789690576
4,20,8,0.72,0.006324555320336764
4,30,4,0.662,0.007483314773547889
4,30,6,0.708,0.009797958971132722
4,30,8,0.72,0.010954451150103331
6,10,4,0.674,0.010198039027185543
6,10,6,0.704,0.01019803902718558
6,10,8,0.7239999999999999,0.008000000000000007
6,20,4,0.65,0.006324555320336764
6,20,6,0.7,0.006324555320336764
6,20,8,0.716,0.013564659966250548
6,30,4,0.672,0.007483314773547889
6,30,6,0.692,0.009797958971132666
6,30,8,0.728,0.011661903789690611
