Model,hyperparams,mean_accuracy,std_accuracy
RF,n_estimators=200,0.6839999999999999,0.02244994432064362
PRF,"n_estimators=200, bootstrap=True, max_depth=None, max_features=sqrt",0.7280000000000001,0.014696938456699083
DeepForest,"n_estimators=3, n_trees=30",0.712,0.00979795897113272
PDF,"n_cascade_estimators=6, n_trees_pdf=30, max_depth_pdf=8",0.728,0.011661903789690611
KSVM,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.78,0.0
