Model,Mean Accuracy,Std
KSVM,1.0,0.0
PDRF,0.7944444444444444,0.10437941237808855
NN,0.7444444444444445,0.11967032904743344
PRF,0.7111111111111111,0.045812284729085134
DF,0.7000000000000001,0.1319371343004213
RF,0.5777777777777778,0.0785674201318386
