n_estimators,n_trees_df,mean_accuracy,std_accuracy
2,10,0.664,0.01854723699099138
2,20,0.692,0.0396988664825584
2,30,0.6880000000000001,0.01469693845669903
3,10,0.6839999999999999,0.02497999199359356
3,20,0.7060000000000001,0.037735924528226404
3,30,0.712,0.00979795897113272
