n_estimators,n_trees_drf,mean_accuracy,std_accuracy
2,10,0.52125,0.015232572008692423
2,20,0.556875,0.017275343701356555
2,30,0.546875,0.012342761036332178
3,10,0.546875,0.006555055301063434
3,20,0.56,0.020097418988516892
3,30,0.568125,0.010155048005794946
