n_estimators,n_trees_df,mean_accuracy,std_accuracy
2,10,0.9,0.018062509019275415
2,20,0.8982456140350876,0.004297350425935414
2,30,0.8947368421052632,0.011095711088310103
3,10,0.9035087719298245,0.00960916767552922
3,20,0.9017543859649123,0.0035087719298245723
3,30,0.8929824561403509,0.006564311204866584
