Model,Mean Accuracy,Std
PRF,0.7853839037927844,0.012706381608409796
DF,0.7604070305272895,0.009204324117545055
RF,0.7602528522972557,0.008264010658808144
NN,0.7315757015109466,0.0017237650150322224
KSVM,0.7261794634597595,0.0
PDRF,0.7067530064754858,1.1102230246251565e-16
