Model,Mean Accuracy,Std
KSVM,0.9666666666666667,0.0
PDRF,0.8666666666666667,0.14142135623730953
DF,0.7777777777777778,0.10122703976827002
PRF,0.75,0.09953596037316068
NN,0.6777777777777777,0.02484519974999766
RF,0.6555555555555556,0.03142696805273544
