Model,hyperparams,mean_accuracy,std_accuracy
RF,n_estimators=200,0.5506249999999999,0.008705242673240066
PRF,"n_estimators=200, bootstrap=True, max_depth=None, max_features=sqrt",0.5824999999999999,0.008749999999999975
DeepForest,"n_estimators=3, n_trees=30",0.553125,0.007905694150420955
PDRF,"n_cascade_estimators=4, n_trees_pdrf=30, max_depth_pdrf=6",0.5756249999999999,0.004145780987944272
KSVM,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.565625,0.0
