Model,hyperparams,mean_accuracy,std_accuracy
RF,n_estimators=200,0.6839999999999999,0.018547236990991374
PRF,"n_estimators=100, bootstrap=True, max_depth=None, max_features=sqrt",0.706,0.0195959179422654
DF,"n_estimators=3, n_trees=30",0.7020000000000001,0.024819347291981694
PDF,"n_cascade_estimators=4, n_trees_pdf=30, max_depth_pdf=8",0.684,0.016248076809271893
KSVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.74,0.0
