n_estimators,mean_accuracy,std_accuracy
20,0.7086031452358927,0.009790014101996647
50,0.7237742830712304,0.010813424011990752
100,0.7309898242368178,0.012890037704607107
200,0.7304347826086957,0.015150817826141142
