n_estimators,bootstrap,max_depth,max_features,mean_accuracy,std_accuracy
20,True,,sqrt,0.8666666666666668,0.029814239699997188
50,True,,sqrt,0.8666666666666668,0.029814239699997188
100,True,,sqrt,0.8666666666666668,0.036514837167011066
200,True,,sqrt,0.8800000000000001,0.03399346342395189
