n_estimators,n_trees_drf,mean_accuracy,std_accuracy
2,10,0.7266666666666667,0.09285592184789417
2,20,0.78,0.07483314773547886
2,30,0.8466666666666667,0.05416025603090639
3,10,0.8733333333333333,0.08273115763993903
3,20,0.7933333333333333,0.09521904571390469
3,30,0.8533333333333333,0.08055363982396384
