n_estimators,n_trees_df,mean_accuracy,std_accuracy
2,10,0.672,0.033105890714493685
2,20,0.704,0.014966629547095779
2,30,0.726,0.01200000000000001
3,10,0.704,0.020591260281973982
3,20,0.732,0.01720465053408527
3,30,0.746,0.013564659966250548
