n_estimators,n_trees_df,mean_accuracy,std_accuracy
2,10,0.9210526315789472,0.011095711088310102
2,20,0.8964912280701753,0.015091798714109882
2,30,0.9140350877192983,0.006564311204866548
3,10,0.9157894736842105,0.016269506132448607
3,20,0.9087719298245613,0.014252698955501677
3,30,0.9228070175438596,0.015091798714109877
