n_estimators,n_trees_drf,mean_accuracy,std_accuracy
2,10,0.55,0.02091650066335187
2,20,0.568125,0.013607213160673277
2,30,0.5637500000000001,0.017297940628872563
3,10,0.558125,0.011284668803292364
3,20,0.559375,0.020916500663351895
3,30,0.5725,0.00605959982177042
