n_estimators,n_trees_df,mean_accuracy,std_accuracy
2,10,0.7409805735430158,0.014696671310442569
2,20,0.7574468085106383,0.012876753111049265
2,30,0.75263644773358,0.010702057253638885
3,10,0.7522664199814987,0.005654285583695158
3,20,0.7654024051803885,0.00859070250970873
3,30,0.7648473635522663,0.00705482921921834
