n_estimators,mean_accuracy,std_accuracy
20,0.8842105263157896,0.014035087719298251
50,0.9140350877192981,0.01403508771929824
100,0.9122807017543859,0.012405382126079773
200,0.9157894736842105,0.008945648269461023
