Model,Mean Accuracy,Std
KSVM,0.9666666666666667,0.0
NN,0.8277777777777778,0.12385276005337754
PDRF,0.7611111111111112,0.08258927081843616
PRF,0.7222222222222222,0.09362388636862623
DF,0.7111111111111111,0.08314794192830983
RF,0.7000000000000001,0.04303314829119354
