Model,Mean Accuracy,Std
KSVM,0.6666666666666666,0.0
NN,0.6222222222222221,0.0598351645237167
PDRF,0.5,0.14142135623730948
DF,0.29444444444444445,0.0950957931590205
PRF,0.25555555555555554,0.12272623352430288
RF,0.2111111111111111,0.03685138655950444
