Model,Mean Accuracy,Std
PRF,0.5552083333333333,0.003454817489953518
KSVM,0.553125,0.0
PDRF,0.5494791666666666,0.011327376651526857
DF,0.5281250000000001,0.004034357652299407
RF,0.5135416666666667,0.013339842161318428
