n_estimators,bootstrap,max_depth,max_features,mean_accuracy,std_accuracy
20,True,,sqrt,0.807,0.011445523142259606
50,True,,sqrt,0.8225,0.010124228365658275
100,True,,sqrt,0.8415000000000001,0.009300537618869132
200,True,,sqrt,0.8480000000000001,0.004301162633521302
