n_estimators,bootstrap,max_depth,max_features,mean_accuracy,std_accuracy
20,True,,sqrt,0.8077705827937095,0.006119458060514783
50,True,,sqrt,0.8101757631822387,0.004070305272895458
100,True,,sqrt,0.8085106382978722,0.0024122858113608345
200,True,,sqrt,0.8077705827937095,0.0049782142634870324
