Model,Mean Accuracy,Std
KSVM,1.0,0.0
RF,0.9777777777777779,0.01571348402636772
DF,0.9777777777777779,0.01571348402636772
PDRF,0.9666666666666667,0.0
PRF,0.9666666666666667,0.0
NN,0.8055555555555555,0.0911178859269818
