n_cascade_estimators,n_trees_pdrf,max_depth_pdrf,mean_accuracy,std_accuracy
4,10,4,0.9122807017543859,0.011095711088310084
4,10,6,0.9210526315789472,0.00960916767552922
4,10,8,0.919298245614035,0.006564311204866584
4,20,4,0.9175438596491228,0.0070175438596491
4,20,6,0.9210526315789472,0.005547855544155069
4,20,8,0.9210526315789472,1.1102230246251565e-16
4,30,4,0.9157894736842106,0.0070175438596491065
4,30,6,0.9210526315789472,0.00960916767552926
4,30,8,0.9192982456140351,0.0035087719298245723
6,10,4,0.9192982456140351,0.0035087719298245723
6,10,6,0.9157894736842106,0.004297350425935414
6,10,8,0.9210526315789472,1.1102230246251565e-16
6,20,4,0.9210526315789472,1.1102230246251565e-16
6,20,6,0.9210526315789472,1.1102230246251565e-16
6,20,8,0.9192982456140351,0.006564311204866584
6,30,4,0.9157894736842105,0.004297350425935414
6,30,6,0.9192982456140351,0.006564311204866584
6,30,8,0.9210526315789472,1.1102230246251565e-16
