n_cascade_estimators,n_trees_pdrf,max_depth_pdrf,mean_accuracy,std_accuracy
4,10,4,0.5650000000000001,0.003644344934278319
4,10,6,0.5587500000000001,0.01142229180156065
4,10,8,0.555625,0.011250000000000005
4,20,4,0.5612499999999999,0.007288689868556621
4,20,6,0.57125,0.006373774391990993
4,20,8,0.571875,0.0098821176880262
4,30,4,0.573125,0.008749999999999996
4,30,6,0.575,0.007395099728874512
4,30,8,0.559375,0.009478594305064463
6,10,4,0.56375,0.007015607600201121
6,10,6,0.5643750000000001,0.004677071733467413
6,10,8,0.556875,0.007500000000000018
6,20,4,0.5668749999999999,0.013491895715576801
6,20,6,0.5625,0.006555055301063445
6,20,8,0.561875,0.01430690392782449
6,30,4,0.570625,0.012279301690242828
6,30,6,0.569375,0.005728219618694784
6,30,8,0.566875,0.0042389562394533
