n_cascade_estimators,n_trees_pdrf,max_depth_pdrf,mean_accuracy,std_accuracy
4,10,4,0.8200000000000001,0.058118652580542336
4,10,6,0.7866666666666667,0.033993463423951924
4,10,8,0.7733333333333332,0.03265986323710909
4,20,4,0.8333333333333334,0.0
4,20,6,0.82,0.016329931618554516
4,20,8,0.8200000000000001,0.03399346342395189
4,30,4,0.8066666666666666,0.038873012632302036
4,30,6,0.8,0.042163702135578414
4,30,8,0.82,0.04988876515698592
6,10,4,0.8333333333333334,0.05163977794943226
6,10,6,0.8133333333333332,0.016329931618554516
6,10,8,0.8266666666666668,0.024944382578492935
6,20,4,0.8333333333333334,0.0
6,20,6,0.8133333333333335,0.016329931618554516
6,20,8,0.8066666666666666,0.024944382578492942
6,30,4,0.8333333333333334,0.04714045207910316
6,30,6,0.82,0.03399346342395189
6,30,8,0.8,0.042163702135578414
