n_cascade_estimators,n_trees_pdf,max_depth_pdf,mean_accuracy,std_accuracy
4,10,4,0.7901942645698428,0.0010788070110722351
4,10,6,0.7898242368177615,0.0021416904538002074
4,10,8,0.793154486586494,0.004161784229121929
4,20,4,0.7883441258094358,0.0025096503175301675
4,20,6,0.7883441258094358,0.0006922585359433428
4,20,8,0.7946345975948195,0.0028662226428916907
4,30,4,0.7914893617021276,0.0017157481027744229
4,30,6,0.7885291396854763,0.0035875521609001785
4,30,8,0.7913043478260869,0.0019048344386654729
6,10,4,0.7920444033302496,0.0014801110083256077
6,10,6,0.7898242368177615,0.001695680183147391
6,10,8,0.7909343200740055,0.00117013049404938
6,20,4,0.7914893617021276,0.0012548251587650707
6,20,6,0.7900092506938019,0.002265947958171317
6,20,8,0.7913043478260869,0.0024544864313453345
6,30,4,0.7909343200740055,0.00117013049404938
6,30,6,0.7883441258094358,0.0014801110083256185
6,30,8,0.7900092506938019,0.0029253262351233733
